Faixa_Score,Clientes,Taxa_Default_Pct,Score_Medio
Muito Baixo,12430,0.7562,20.7966
Baixo,62891,1.5249,38.1027
Alto,59740,7.5142,60.7351
Muito Alto,14329,31.1745,82.7983
